,Tengu-Bench,MT-Bench,ELYZA-tasks-100,mean,weighted_mean
gemini-2.5-pro,9.258333333333333,8.683333333333334,9.54,9.160555555555556,9.235714285714286
gemini-2.5-pro-preview-03-25,9.241666666666667,8.733333333333333,9.48,9.151666666666667,9.217857142857143
gemini-2.5-pro-preview-06-05,9.233333333333333,8.8,9.4,9.144444444444444,9.2
gemini-2.5-pro-preview-05-06,9.108333333333333,8.55,9.42,9.026111111111112,9.1
gemini-2.5-flash,8.75,8.633333333333333,9.4,8.927777777777777,8.957142857142857
gemini-2.5-flash-lite-preview-06-17,7.733333333333333,8.3,8.48,8.171111111111111,8.121428571428572
