,Tengu-Bench,MT-Bench,ELYZA-tasks-100,mean,weighted_mean
cognitivecomputations__dolphin-2.9.2-qwen2-7b,5.55,6.440677966101695,6.2,6.063559322033899,5.973002421307506
shisa-ai__shisa-v1-qwen2-7b,5.508333333333334,6.203389830508475,6.3,6.003907721280602,5.94001210653753
shisa-ai__shisa-v1-llama3-8b.sharegpt_filtered_appended,5.563025210084033,5.6,6.52,5.8943417366946775,5.912725090036015
shisa-ai__shisa-llama3-8b-v1.fp0.5,5.066666666666666,6.406779661016949,6.62,6.031148775894539,5.90859564164649
shisa-ai__shisa-v1-llama3-8b.sharegpt_original,5.758333333333334,5.551724137931035,6.3,5.870019157088123,5.907512315270936
shisa-ai__shisa-v1-llama3-8b.lr-5e6,5.2100840336134455,6.779661016949152,6.181818181818182,6.057187744126925,5.893469868687074
shisa-ai__shisa-gemma-7b-v1,5.55,5.423728813559322,6.5,5.824576271186441,5.862227602905569
lightblue__20240422,5.525,4.962025316455696,6.68,5.722341772151899,5.816862567811935
shisa-ai__shisa-swallowmx-13a47b-v1,5.033333333333333,6.066666666666666,6.48,5.859999999999999,5.771428571428571
shisa-ai__shisa-v1-llama3-8b.lr-5e5,4.80672268907563,6.448275862068965,6.28,5.8449995170481985,5.684654551475762
Nexusflow__Starling-LM-7B-beta,5.408333333333333,5.6125,5.74,5.586944444444444,5.570535714285715
augmxnt__shisa-gamma-7b-v1,5.466666666666667,5.016666666666667,5.96,5.481111111111112,5.546428571428572
shisa-ai__shisa-v1-phi3-14b,5.008474576271187,5.258620689655173,6.28,5.515698421975453,5.51619353761376
openchat__openchat-3.5-0106,5.491666666666666,5.0375,5.82,5.4497222222222215,5.511607142857143
xverse__XVERSE-13B-Chat,4.883333333333334,5.3375,6.34,5.520277777777778,5.5008928571428575
Qwen__Qwen1.5-7B-Chat,5.291666666666667,5.4125,5.54,5.414722222222221,5.40625
shisa-ai__shisa-v1-mistral0.3-7b,4.858333333333333,6.101694915254237,5.64,5.53334274952919,5.403934624697337
Rakuten__RakutenAI-7B-chat,5.241666666666666,4.6,5.92,5.253888888888889,5.3464285714285715
elyza__ELYZA-japanese-Llama-2-13b-instruct,5.516666666666667,4.3125,5.6,5.143055555555555,5.288392857142857
meta-llama__Llama-2-13b-chat-hf,4.675,5.7125,5.64,5.3425,5.241964285714285
shisa-ai__shisa-yi1.5-9b-v1,5.0,4.283333333333333,5.98,5.087777777777778,5.196428571428571
lightblue__qarasu-14B-chat-plus-unleashed,5.008333333333334,4.7375,5.575757575757576,5.10719696969697,5.152949134199134
mistralai__Mistral-7B-Instruct-v0.2,4.533333333333333,4.65,5.78,4.9877777777777785,5.003571428571429
cyberagent__calm2-7b-chat,4.808333333333334,3.575,4.9,4.427777777777778,4.576785714285714
meta-llama__Llama-2-7b-chat-hf,3.9166666666666665,5.45,4.78,4.715555555555556,4.553571428571429
augmxnt__shisa-7b-v1,4.533333333333333,3.9473684210526314,4.626262626262626,4.368988126882864,4.44095845674793
shisa-ai__shisa-v1-llama3-8b.lr-2e4,3.1333333333333333,4.483333333333333,4.7,4.105555555555555,3.982142857142857
lightblue__starlingbeta_cult_dsir_megagon_final,3.5546218487394956,2.6875,4.96,3.734040616246498,3.8707307923169267
shisa-ai__shisa-llama3-8b-v1,5.325,,6.52,5.922499999999999,
shisa-ai__shisa-llama3-8b-v1.fp0.8,,6.362068965517241,,6.362068965517241,
shisa-ai__shisa-llama3-8b-v1.fp0.0,,6.383333333333334,,6.383333333333334,
shisa-ai__shisa-llama3-8b-v1-original,,6.166666666666667,,6.166666666666667,
shisa-ai__shisa-llama3-8b-v1.rp-1.0,,6.2,,6.2,
