,Tengu-Bench,MT-Bench,ELYZA-tasks-100,mean,weighted_mean
gpt-4-turbo-2024-04-09,8.308333333333334,8.7375,8.78,8.608611111111111,8.56875
gpt-4o-2024-05-13,8.158333333333333,8.694915254237289,8.88,8.577749529190207,8.531053268765135
claude-3-opus-20240229,8.233333333333333,8.576271186440678,8.64,8.483201506591337,8.452058111380145
gpt-4-turbo-preview,7.841666666666667,8.6125,8.94,8.464722222222221,8.399107142857142
gemini-1.5-pro,7.608333333333333,8.933333333333334,8.58,8.37388888888889,8.239285714285714
gemini-1.5-flash,7.041666666666667,8.433333333333334,8.28,7.918333333333334,7.7821428571428575
claude-3-sonnet-20240229,7.325,7.683333333333334,8.121212121212121,7.709848484848485,7.686147186147186
meta-llama__Meta-Llama-3-70B-Instruct,6.608333333333333,8.542372881355933,8.22,7.790235404896421,7.598365617433415
claude-3-haiku-20240307,7.383333333333334,7.517241379310345,7.48,7.460191570881226,7.44655172413793
CohereForAI__c4ai-command-r-plus,6.788135593220339,7.425,7.5,7.23771186440678,7.17884382566586
Qwen__Qwen1.5-72B-Chat,6.808333333333334,7.1625,7.603960396039604,7.191597909790978,7.168378712871287
gpt-3.5-turbo-0125,6.816666666666666,6.975,7.24,7.010555555555555,7.001785714285714
together_ai__mistralai__Mixtral-8x22B-Instruct-v0.1,6.428571428571429,6.65,7.64,6.906190476190477,6.908673469387756
shisa-ai__shisa-v1-llama3-70b.8e6,6.041666666666667,7.666666666666667,7.34,7.016111111111111,6.853571428571429
umiyuki__Llama-3-Umievo-itr014-Shizuko-8b,6.45,7.35,6.98,6.926666666666667,6.832142857142857
shisa-v1-llama3-70b.q4_k_m,6.19327731092437,7.271186440677966,7.22,6.894821250534112,6.79094451339858
shisa-ai__shisa-llama3-70b-v1,6.091666666666667,7.45,7.16,6.900555555555556,6.764285714285714
Qwen__Qwen1.5-32B-Chat,6.361344537815126,6.9,7.090909090909091,6.784084542908072,6.737329477245443
karakuri-ai__karakuri-lm-8x7b-chat-v0.1,6.55,6.3,7.18,6.676666666666667,6.7214285714285715
Qwen__Qwen2-7B-Instruct,6.416666666666667,7.105263157894737,6.8,6.773976608187135,6.701127819548872
shisa-ai__shisa-v1-smaug-llama3-70b,5.825,7.533333333333333,7.22,6.859444444444445,6.689285714285714
lightblue__ao-karasu-72B,6.266666666666667,6.544303797468355,7.191919191919192,6.667629885351405,6.656607668000073
umiyuki__Umievo-itr012-Gleipnir-7B,6.310924369747899,6.396551724137931,7.0,6.569158697961943,6.575371527921513
meta-llama__Meta-Llama-3-8B-Instruct,5.848739495798319,7.677966101694915,6.68,6.735568532497744,6.537595377133904
CohereForAI__c4ai-command-r-v01,6.675,6.936708860759493,6.08,6.563902953586497,6.518580470162749
tokyotech-llm__Swallow-70b-instruct-v0.1,5.906779661016949,6.448275862068965,7.28,6.545018507695304,6.51325039659347
karakuri-ai__karakuri-lm-70b-chat-v0.1,6.233333333333333,6.432098765432099,6.86,6.508477366255144,6.499735449735449
DataPilot__ArrowPro-7B-KUJIRA,6.126050420168068,6.526315789473684,6.84,6.497455403213917,6.466803563530675
Qwen__Qwen1.5-14B-Chat,6.2,6.5375,6.7,6.479166666666667,6.450892857142857
microsoft__Phi-3-medium-128k-instruct,6.041666666666667,5.916666666666667,7.1,6.352777777777778,6.392857142857143
shisa-ai__shisa-v1-llama3-8b.lr-8e6,5.725,7.0344827586206895,6.565656565656566,6.441713108092418,6.30583793601035
shisa-ai__shisa-v1-llama3-8b.cosine,5.658333333333333,6.916666666666667,6.66,6.411666666666666,6.285714285714286
DataPilot__ArrowPro-7B-RobinHood,5.958333333333333,6.017543859649122,6.62,6.198625730994152,6.207330827067669
shisa-ai__shisa-v1-llama3-8b.neftune,5.666666666666667,6.45,6.52,6.2122222222222225,6.139285714285714
shisa-ai__shisa-v1-llama3-8b.wd-0.05,5.55,6.830508474576271,6.4,6.260169491525424,6.1279661016949145
THUDM__glm-4-9b-chat,5.4907407407407405,5.52,7.155555555555556,6.055432098765432,6.091587301587302
shisa-ai__shisa-v1-llama3-8b.sharegpt_filtered,5.875,5.896551724137931,6.44,6.07051724137931,6.081403940886699
shisa-ai__shisa-v1-llama3-8b.lr-2e5,5.508333333333334,6.8474576271186445,6.24,6.198596986817326,6.056598062953995
shisa-ai__shisa-v1-llama3-8b.lr-2e6,5.375,6.879310344827586,6.26,6.171436781609195,6.013423645320197
shisa-ai__shisa-v1-llama3-8b.sharegpt_mix,5.2,7.016666666666667,6.36,6.192222222222223,6.003571428571429
