,Tengu-Bench,MT-Bench,ELYZA-tasks-100,mean,weighted_mean
gemini-2.5-pro,9.016666666666667,9.133333333333333,9.24,9.13,9.121428571428572
gemini-2.5-pro-preview-03-25,9.141666666666667,8.8,9.24,9.060555555555558,9.103571428571428
gemini-2.5-pro-preview-06-05,9.1,8.833333333333334,9.12,9.017777777777779,9.05
gemini-2.5-pro-preview-05-06,9.075,8.5,9.12,8.898333333333333,8.967857142857143
gemini-2.5-flash,8.658333333333333,8.766666666666667,9.04,8.821666666666667,8.817857142857143
gemini-2.5-flash-lite-preview-06-17,7.391666666666667,7.833333333333333,7.98,7.734999999999999,7.696428571428571
