,Tengu-Bench,MT-Bench,ELYZA-tasks-100,mean,weighted_mean
gemini-2.5-pro-preview-03-25,9.2,9.8,9.48,9.493333333333334,9.428571428571429
gemini-2.5-pro,9.058333333333334,9.95,9.44,9.482777777777777,9.385714285714286
gemini-2.5-pro-preview-06-05,9.116666666666667,9.95,9.34,9.46888888888889,9.375
gemini-2.5-pro-preview-05-06,9.041666666666666,9.8,9.38,9.407222222222224,9.325
gemini-2.5-flash,8.633333333333333,9.716666666666667,9.42,9.256666666666668,9.146428571428572
gemini-2.5-flash-lite-preview-06-17,7.366666666666666,8.9,8.26,8.175555555555555,8.014285714285714
