,Tengu-Bench,MT-Bench,ELYZA-tasks-100,mean,weighted_mean
gemini-2.5-pro-preview-05-06,9.375,9.166666666666666,8.88,9.140555555555556,9.153571428571428
gemini-2.5-pro-preview-03-25,9.383333333333333,9.283333333333333,8.74,9.135555555555555,9.132142857142858
gemini-2.5-pro,9.258333333333333,9.233333333333333,8.7,9.063888888888888,9.053571428571429
gemini-2.5-pro-preview-06-05,9.15,9.383333333333333,8.66,9.064444444444444,9.025
gemini-2.5-flash,8.983333333333333,9.283333333333333,8.62,8.962222222222222,8.917857142857143
gemini-2.5-flash-lite-preview-06-17,8.033333333333333,8.983333333333333,7.56,8.192222222222222,8.067857142857143
