,Tengu-Bench,MT-Bench,ELYZA-tasks-100,mean,weighted_mean
gemini-2.5-pro-preview-03-25,9.141666666666667,9.833333333333334,9.5,9.491666666666667,9.417857142857143
gemini-2.5-pro-preview-05-06,9.016666666666667,9.85,9.46,9.442222222222222,9.353571428571428
gemini-2.5-pro-preview-06-05,9.116666666666667,9.816666666666666,9.22,9.384444444444446,9.303571428571429
gemini-2.5-pro,9.016666666666667,9.783333333333333,9.32,9.373333333333333,9.289285714285715
gemini-2.5-flash,8.625,9.833333333333334,9.4,9.286111111111111,9.160714285714286
gemini-2.5-flash-lite-preview-06-17,7.358333333333333,8.916666666666666,8.2,8.158333333333333,7.992857142857143
