,Tengu-Bench,MT-Bench,ELYZA-tasks-100,mean,weighted_mean
gemini-2.5-pro,9.091666666666667,9.783333333333333,9.56,9.478333333333333,9.407142857142857
gemini-2.5-pro-preview-03-25,9.166666666666666,9.65,9.5,9.438888888888888,9.389285714285714
gemini-2.5-pro-preview-06-05,9.05,9.716666666666667,9.48,9.415555555555555,9.346428571428572
gemini-2.5-pro-preview-05-06,8.891666666666667,9.6,9.52,9.337222222222222,9.267857142857142
gemini-2.5-flash,8.691666666666666,9.533333333333333,9.42,9.215000000000002,9.132142857142858
gemini-2.5-flash-lite-preview-06-17,7.6,9.2,8.44,8.413333333333332,8.242857142857142
